rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1501822129401699066,,50146,,1501822129,401699066,"""map""",,,1297.55258951,-1767.16060888,-5.75980695376,,0.00217769253362,0.0163535953528,0.589192593562,0.807824179674
1501822129461707115,,50628,,1501822129,461707115,"""map""",,,1297.60889805,-1766.96570951,-5.76474941763,,0.00282848822769,0.0161254879707,0.589148590328,0.807858840892
1501822129506701946,,51034,,1501822129,506701946,"""map""",,,1297.65099388,-1766.81845299,-5.76780862499,,0.00338004390856,0.0159921228235,0.589083753257,0.80790665238
1501822129561743974,,51493,,1501822129,561743974,"""map""",,,1297.70510576,-1766.63922153,-5.77161202701,,0.00395687163469,0.0156309705054,0.589028364918,0.807951484466
1501822129611709117,,51906,,1501822129,611709117,"""map""",,,1297.75269298,-1766.47445331,-5.77681210529,,0.00452712361976,0.0152235494018,0.58906793137,0.807927423056
1501822129656718015,,52306,,1501822129,656718015,"""map""",,,1297.79805874,-1766.3283739,-5.78396346566,,0.00546307433312,0.0147758409029,0.589022739843,0.807962895988
1501822129711711883,,52717,,1501822129,711711883,"""map""",,,1297.8506984,-1766.14551352,-5.79311014998,,0.00674250396697,0.014297141941,0.589003627062,0.807975777904
1501822129761727094,,53081,,1501822129,761727094,"""map""",,,1297.89821164,-1765.97793273,-5.79916388219,,0.00733970282936,0.0141349614963,0.58883885281,0.808093519989
1501822129811717033,,53507,,1501822129,811717033,"""map""",,,1297.94885667,-1765.81182043,-5.80369772195,,0.007887103128,0.0141530198744,0.588719716424,0.808174845641
1501822129861725091,,53936,,1501822129,861725091,"""map""",,,1297.99765689,-1765.64242609,-5.80637611847,,0.00823209852382,0.0144767994622,0.588644140107,0.808220719327
1501822129911741971,,54337,,1501822129,911741971,"""map""",,,1298.04985176,-1765.47401698,-5.80766413541,,0.00810731414442,0.0147640865655,0.588615154988,0.808237893521
1501822129961724042,,54679,,1501822129,961724042,"""map""",,,1298.09969234,-1765.30311291,-5.8086272547,,0.00754304516344,0.0148155548875,0.588648713292,0.8082179744
1501822130011729955,,55117,,1501822130,11729955,"""map""",,,1298.1530078,-1765.13351229,-5.81085109831,,0.00702038663148,0.0148219368998,0.58859066218,0.8082648432
1501822130051733970,,55403,,1501822130,51733970,"""map""",,,1298.19359504,-1764.99554645,-5.81185612758,,0.00666674196939,0.0148365467263,0.588553499906,0.808294630182
1501822130111745119,,55874,,1501822130,111745119,"""map""",,,1298.25442172,-1764.78762718,-5.81373934983,,0.00606907410591,0.0147369096196,0.588465555136,0.808365189907
1501822130161740064,,56283,,1501822130,161740064,"""map""",,,1298.30809746,-1764.61638764,-5.81582300412,,0.0055557127455,0.0145209986423,0.588391663855,0.808426573388
1501822130211750984,,56683,,1501822130,211750984,"""map""",,,1298.35956843,-1764.44181109,-5.81835372376,,0.00521791921021,0.0143231397415,0.588447873058,0.808391440875
1501822130261746883,,57066,,1501822130,261746883,"""map""",,,1298.41440806,-1764.26908753,-5.81969847561,,0.00513109338445,0.0145276284476,0.588440490865,0.808393721279
1501822130301748991,,57402,,1501822130,301748991,"""map""",,,1298.45577528,-1764.12775365,-5.82115865604,,0.00496428643964,0.0150040576853,0.588425813707,0.808396744103
1501822130361757040,,57915,,1501822130,361757040,"""map""",,,1298.51759904,-1763.91481163,-5.82228940295,,0.00483074886331,0.0155732481293,0.58837500654,0.808423768507
1501822130411761045,,58350,,1501822130,411761045,"""map""",,,1298.57251898,-1763.73963546,-5.82368846945,,0.00478297544051,0.0160455431148,0.588308849427,0.80846296228
1501822130461772918,,58779,,1501822130,461772918,"""map""",,,1298.62474328,-1763.56090135,-5.82589051721,,0.00496025902482,0.0164312981776,0.588335171431,0.808434990787
1501822130506764888,,59095,,1501822130,506764888,"""map""",,,1298.67509325,-1763.40253467,-5.82836858397,,0.00502359011079,0.0165785099745,0.588296660428,0.808459619201
1501822130561798095,,59500,,1501822130,561798095,"""map""",,,1298.73292901,-1763.20450943,-5.83309096213,,0.00502214676954,0.0165541523782,0.58830800554,0.808451871603
1501822130611772060,,59938,,1501822130,611772060,"""map""",,,1298.78918734,-1763.02708821,-5.83625253789,,0.00508406690635,0.0165344368044,0.588243876968,0.808498550322
1501822130661767959,,60363,,1501822130,661767959,"""map""",,,1298.84233086,-1762.8458074,-5.83924079762,,0.00508029387424,0.0165832979355,0.588227952758,0.808509159155
1501822130711805105,,60784,,1501822130,711805105,"""map""",,,1298.89567908,-1762.66363581,-5.84234595806,,0.00488311846096,0.0164888105487,0.588224920441,0.808514512704
1501822130761784076,,61154,,1501822130,761784076,"""map""",,,1298.95258107,-1762.4848894,-5.84565090166,,0.00458297799823,0.0162308799497,0.588172812289,0.80855939654
1501822130811778068,,61566,,1501822130,811778068,"""map""",,,1299.00679057,-1762.30184241,-5.8502659619,,0.004434975309,0.0161116405301,0.588219578144,0.808528585717
1501822130861790895,,61904,,1501822130,861790895,"""map""",,,1299.06082821,-1762.11911132,-5.85370178965,,0.00421422637743,0.0161865318189,0.588299214143,0.808470327917
1501822130911792039,,62283,,1501822130,911792039,"""map""",,,1299.11826984,-1761.93887706,-5.85706743676,,0.00329778652684,0.0166410368109,0.588205182409,0.808533774115
1501822130951776981,,62620,,1501822130,951776981,"""map""",,,1299.16150917,-1761.79169655,-5.85950859835,,0.00236160388017,0.0174177494567,0.58821276953,0.808515171529
1501822131061784029,,63474,,1501822131,61784029,"""map""",,,1299.2845603,-1761.3886697,-5.86780581795,,0.00136167606372,0.0192644093455,0.588248857952,0.808449324008
